Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: sent,Spreadsheet: sent_1,Spreadsheet: word_1,Spreadsheet: card_1,Spreadsheet: card_2,Spreadsheet: corr_1,Spreadsheet: cons,Spreadsheet: vowel,Spreadsheet: target,Manipulation: Spreadsheet,Store: response 1,Store: response 2,Store: Score,Store: Total_q,Store: Score_total
53,1.71141E+12,25/03/2024 22:16:56,1.71139E+12,-4,25/03/2024 14:16:56,170312,4,task-4ej8,,36441124,,10755999,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 122.0.0.0,1680x1050,1355x758,,,0,Coda prediction task (Single stim),6,Spreadsheet1,10,Trials_blk1,Screen 3,2d6z4v,2,info,audio finished,110.69999997615741,101,110.69999997615741,110.69999997615741,101,110.69999997615741,1,110.69999997615741,0,0,,Audio Clip,Audio,2,object-46,Trials_blk1,Kip has a toad named ___,pa_125_sent.mp3,pa_125_word.mp3,pab,pap,pab,p,a,1,,,,50,,
54,1.71141E+12,25/03/2024 22:16:57,1.71139E+12,-4,25/03/2024 14:16:57,170312,4,task-4ej8,,36441124,,10755999,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 122.0.0.0,1680x1050,1355x758,,,0,Coda prediction task (Single stim),6,Spreadsheet1,10,Trials_blk1,Screen 3,2d6z4v,2,continue,,566.5999999999985,566.5999999999985,566.5999999999985,566.5999999999985,566.5999999999985,566.5999999999985,1,566.5999999999985,0,0,,Fixation Timing,Fixation,1,object-45,Trials_blk1,Kip has a toad named ___,pa_125_sent.mp3,pa_125_word.mp3,pab,pap,pab,p,a,1,,,,50,,
55,1.71141E+12,25/03/2024 22:16:57,1.71139E+12,-4,25/03/2024 14:16:57,170312,4,task-4ej8,,36441124,,10755999,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 122.0.0.0,1680x1050,1355x758,,,0,Coda prediction task (Single stim),6,Spreadsheet1,11,Trials_blk1,Screen 1,rvjw9l,1,response,kack,379.59999997615887,367.6000000000022,379.59999997615887,379.59999997615887,367.6000000000022,379.59999997615887,1,379.59999997615887,0,0,,Click Response,Card1,7,object-20,Trials_blk1,Ted has a pup named ___,ka_50_sent.mp3,ka_50_word.mp3,kack,kag,kack,k,a,1,,,,55,,
56,1.71141E+12,25/03/2024 22:16:57,1.71139E+12,-4,25/03/2024 14:16:57,170312,4,task-4ej8,,36441124,,10755999,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 122.0.0.0,1680x1050,1355x758,,,0,Coda prediction task (Single stim),6,Spreadsheet1,11,Trials_blk1,Screen 1,rvjw9l,1,continue,,380.5,367.6000000000022,380.5,380.5,367.6000000000022,380.5,0,380.5,0,0,,Click To Continue,Card1,7,object-20,Trials_blk1,Ted has a pup named ___,ka_50_sent.mp3,ka_50_word.mp3,kack,kag,kack,k,a,1,,,,55,,
57,1.71141E+12,25/03/2024 22:16:57,1.71139E+12,-4,25/03/2024 14:16:57,170312,4,task-4ej8,,36441124,,10755999,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 122.0.0.0,1680x1050,1355x758,,,0,Coda prediction task (Single stim),6,Spreadsheet1,11,Trials_blk1,Screen 3,2d6z4v,2,info,audio started,13.899999952314829,0,13.899999952314829,13.899999952314829,0,13.899999952314829,1,13.899999952314829,0,0,,Audio Clip,Audio,2,object-46,Trials_blk1,Ted has a pup named ___,ka_50_sent.mp3,ka_50_word.mp3,kack,kag,kack,k,a,1,,,,55,,
58,1.71141E+12,25/03/2024 22:16:57,1.71139E+12,-4,25/03/2024 14:16:57,170312,4,task-4ej8,,36441124,,10755999,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 122.0.0.0,1680x1050,1355x758,,,0,Coda prediction task (Single stim),6,Spreadsheet1,11,Trials_blk1,Screen 3,2d6z4v,2,info,audio finished,114.39999995231483,100.09999999999854,114.39999995231483,114.39999995231483,100.09999999999854,114.39999995231483,1,114.39999995231483,0,0,,Audio Clip,Audio,2,object-46,Trials_blk1,Ted has a pup named ___,ka_50_sent.mp3,ka_50_word.mp3,kack,kag,kack,k,a,1,,,,55,,
59,1.71141E+12,25/03/2024 22:16:58,1.71139E+12,-4,25/03/2024 14:16:58,170312,4,task-4ej8,,36441124,,10755999,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 122.0.0.0,1680x1050,1355x758,,,0,Coda prediction task (Single stim),6,Spreadsheet1,11,Trials_blk1,Screen 3,2d6z4v,2,continue,,566.7999999999993,566.7999999999993,566.7999999999993,566.7999999999993,566.7999999999993,566.7999999999993,1,566.7999999999993,0,0,,Fixation Timing,Fixation,1,object-45,Trials_blk1,Ted has a pup named ___,ka_50_sent.mp3,ka_50_word.mp3,kack,kag,kack,k,a,1,,,,55,,
60,1.71141E+12,25/03/2024 22:16:58,1.71139E+12,-4,25/03/2024 14:16:58,170312,4,task-4ej8,,36441124,,10755999,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 122.0.0.0,1680x1050,1355x758,,,0,Coda prediction task (Single stim),6,Spreadsheet1,12,Trials_blk1,Screen 1,rvjw9l,1,response,kack,405.6999999761574,399.8999999999978,405.6999999761574,405.6999999761574,399.8999999999978,405.6999999761574,0,405.6999999761574,0,0,,Click Response,Card2,6,object-19,Trials_blk1,Ted has a pup named ___,ka_150_sent.mp3,ka_150_word.mp3,kag,kack,kag,k,a,1,,,,50,,
61,1.71141E+12,25/03/2024 22:16:58,1.71139E+12,-4,25/03/2024 14:16:58,170312,4,task-4ej8,,36441124,,10755999,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 122.0.0.0,1680x1050,1355x758,,,0,Coda prediction task (Single stim),6,Spreadsheet1,12,Trials_blk1,Screen 1,rvjw9l,1,continue,,406.9999999284737,399.8999999999978,406.9999999284737,406.9999999284737,399.8999999999978,406.9999999284737,0,406.9999999284737,0,0,,Click To Continue,Card2,6,object-19,Trials_blk1,Ted has a pup named ___,ka_150_sent.mp3,ka_150_word.mp3,kag,kack,kag,k,a,1,,,,50,,
62,1.71141E+12,25/03/2024 22:16:58,1.71139E+12,-4,25/03/2024 14:16:58,170312,4,task-4ej8,,36441124,,10755999,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 122.0.0.0,1680x1050,1355x758,,,0,Coda prediction task (Single stim),6,Spreadsheet1,12,Trials_blk1,Screen 3,2d6z4v,2,info,audio started,9.599999928475881,0,9.599999928475881,9.599999928475881,0,9.599999928475881,1,9.599999928475881,0,0,,Audio Clip,Audio,2,object-46,Trials_blk1,Ted has a pup named ___,ka_150_sent.mp3,ka_150_word.mp3,kag,kack,kag,k,a,1,,,,50,,
