Participant Private ID,Display,Response,Correct,Spreadsheet: sound,Spreadsheet: cons,Spreadsheet: vowel,Spreadsheet: noise
10768523,Trials-Clean,audio started,0,HA_clean.mp3,h,a,clean
10768523,Trials-Clean,audio finished,0,HA_clean.mp3,h,a,clean
10768523,Trials-Clean,h,1,HA_clean.mp3,h,a,clean
10768523,Trials-Clean,audio started,0,TA_clean.mp3,t,a,clean
10768523,Trials-Clean,audio finished,0,TA_clean.mp3,t,a,clean
10768523,Trials-Clean,th,0,TA_clean.mp3,t,a,clean
10768523,Trials-Clean,audio started,0,PU_clean.mp3,p,u,clean
10768523,Trials-Clean,audio finished,0,PU_clean.mp3,p,u,clean
10768523,Trials-Clean,h,0,PU_clean.mp3,p,u,clean
10768523,Trials-Clean,audio started,0,HA_clean.mp3,h,a,clean
10768523,Trials-Clean,audio finished,0,HA_clean.mp3,h,a,clean
10768523,Trials-Clean,h,1,HA_clean.mp3,h,a,clean
